Description,Link,Category
Asociación Argentina "Amigos de la Astronomía" (ASARAMAS),https://www.amigosdelaastronomia.org/,Associations
American Association of Variable Star Observers (AAVSO),https://www.aavso.org/,Associations
British Astronomical Association (BAA),https://britastro.org/,Associations

ExoClock,https://exoclock.space/,Databases
Exoplanet Transit Database (ETD),https://var.astro.cz/en,Databases
AAVSO Exoplanet Database,https://apps.aavso.org/exosite/,Databases

ExoWorlds Spies Transit Scheduler,https://www.exoworldsspies.com/en/scheduler/,Tools
Transit Finder,https://astro.swarthmore.edu/transits/transits.cgi,Tools
NASA Exoplanet Archive,https://exoplanetarchive.ipac.caltech.edu/,Tools

Practical Guide to Exoplanet Observing,https://astrodennis.com/,Readings
Exoplanet Observing by Amateur Astronomers,http://brucegary.net/book_EOA/x.htm,Readings
Photometry: Measuring the Stars,https://skyandtelescope.org/astronomy-resources/photometry-measuring-the-stars/,Readings

EXOTIC,https://science.nasa.gov/citizen-science/exoplanet-watch/exotic/,Software
HOPS,https://www.exoworldsspies.com/en/software/,Software
AstroImageJ,https://astroimagej.com/,Software
Munipack,https://munipack.physics.muni.cz/,Software
FotoDif,http://www.astrosurf.com/orodeno/fotodif/,Software

ExoClock,https://exoclock.space/,Campaigns
Exoplanet Watch (NASA),https://science.nasa.gov/citizen-science/exoplanet-watch/,Campaigns
DIY Planet Search (Harvard), https://waps.cfa.harvard.edu/microobservatory/diy/index.php,Campaigns
